ID	D_4HR_REP1	D_4HR_REP2	D_4HR_REP3	D_6HR_REP1	D_6HR_REP2	D_6HR_REP3	D_8HR_REP1	D_8HR_REP2	D_8HR_REP3
YEL070W	16.6207311591	16.4879136972	22.409954123	94.8751910687	136.7868754981	107.1002516852	10.0032689238	17.0031038218	12.1992404879
YOR388C	21.734802285	6.5951654789	11.2049770615	44.2750891654	149.0505264048	184.7479341569	17.605753306	9.0683220383	14.9101828185
YFL020C	30.6844267553	35.449014449	131.6584804725	309.9256241578	508.469833748	481.9511325832	35.6116373689	72.5465763065	39.3086637943
YJR048W	879.6202336525	1586.1372976712	1301.1779612653	4104.9332669058	5732.7851200125	5175.6196626854	570.5864594158	569.0372079038	558.4541201117
YLR377C	26.8488734109	22.2586834912	47.6211525113	195.171821627	176.4079015044	239.6368131455	22.4073223894	11.3354025479	37.9531926289
YFL030W	308.1227853347	331.4070653138	413.1835291424	3166.1206619498	3418.7285296899	4036.3407353845	390.5276187867	351.3974789844	516.4345139868
YLR062C	0	3.2975827394	0	1.8071464965	1.8867155241	1.3387531461	0.400130757	0	0
YOR237W	529.3063615293	424.563777703	2467.8961977928	1586.674623968	1214.1014397657	1046.9049602224	86.8283742589	155.295014906	234.4965116003
YOR314W	0	0.8243956849	4.2018663981	1.8071464965	1.8867155241	1.3387531461	0.400130757	0	0
YBL108C-A	0	5.770769794	77.0342172977	34.3357834344	35.8475949581	49.5338664044	1.6005230278	12.4689428027	1.3554711653
YHL012W	37.0770156627	45.3417626673	28.0124426537	168.9681974271	166.9743238839	214.2005033703	32.0104605563	17.0031038218	20.3320674798
YHL019W-A	0	0	5.6024885307	7.2285859862	5.6601465723	2.6775062921	0.8002615139	0	1.3554711653
YKL093W	631.587784047	625.7163248089	435.5934832654	2106.2292417252	2248.9649047408	2286.5903734782	318.5040825351	265.2484196205	321.2466661807
YDL050C	1.2785177815	0.8243956849	0	5.4214394896	1.8867155241	1.3387531461	0.8002615139	0	0
YML087C	282.5524297052	304.2020077134	364.1617544984	1205.3667131967	1340.5113798812	1689.5064703334	165.2540026218	192.701843314	226.3636846084
YPL066W	6129.2142443752	4953.7936703254	5480.6344052004	37985.3157841634	30609.1293054212	39139.7869783417	5016.0391691703	4799.4094387746	5108.7708220896
YOR009W	1793.7604474048	1314.9111173521	6419.0512341001	5698.83647686	4530.0039733915	5318.8662493143	378.5236960781	844.4874898174	988.138479518
YGR059W	75.4325491068	45.3417626673	43.4192861133	221.375445827	183.9547636009	191.4416998872	30.4099375285	20.4037245862	33.886779133
YLR358C	0	0.8243956849	0	2.7107197448	0	1.3387531461	0.400130757	0	0
YHL030W-A	0	1.6487913697	1.4006221327	3.6142929931	2.8300732862	4.0162594382	0.400130757	1.1335402548	0
YOR384W	186.6635960949	76.668798692	82.6367058285	631.5977005431	566.0146572334	647.9565226952	77.625366849	73.6801165613	119.2814625481
YAL068C	0	2.4731870546	32.2143090518	2.7107197448	4.7167888103	21.420050337	0.8002615139	2.2670805096	1.3554711653
YOR313C	388.6694055674	289.362885386	483.2146357767	848.4552801287	767.8932183133	909.0133861778	113.6371349748	122.4223475172	139.6135300279
YPL134C	355.4279432491	607.579619742	472.0096587152	2617.6517002479	3504.5740860369	2848.8666948253	434.1418712946	411.4751124882	487.9696195151
YNL277W-A	3.8355533444	1.6487913697	7.0031106634	16.2643184689	28.3007328617	29.4525692134	4.4014383265	2.2670805096	4.066413496
YBR299W	16.6207311591	31.3270360247	35.0155533172	113.8502292824	138.6735910222	136.5528208986	20.0065378477	20.4037245862	18.9765963145
YJR095W	57.5333001662	42.0441799279	43.4192861133	220.4718725787	201.8785610799	307.9132235948	31.2101990424	29.4720466245	54.2188466128
YCL022C	1.2785177815	0	0	1.8071464965	1.8867155241	0	0.400130757	0	0
YKL031W	106.1169758622	68.4248418434	92.4410607573	244.8683502821	234.8960827519	305.2357173027	42.813990994	39.6739089176	37.9531926289
YHL033C	2578.7703652284	4969.4571883377	5764.9606981357	11069.6758645968	13132.4834055774	11205.3638325599	1869.4108964872	1889.6116047325	1774.3117554034
YIL060W	10.2281422518	1.6487913697	4.2018663981	5.4214394896	12.2636509067	8.0325188764	0.8002615139	1.1335402548	2.7109423306
YLL056C	294.0590897385	255.5626623067	319.3418462524	1349.0348596721	1459.3744579002	1535.549858536	228.0745314635	216.5061886646	238.5629250963
YJL157C	4592.4358710463	4996.6622459381	5427.4107641584	21036.9923663002	20655.7615579715	17344.8857604117	2781.7090223414	2889.3941094559	3662.4830886936
YFL011W	1.2785177815	9.0683525335	11.2049770615	50.6001019033	69.8084743921	44.1788538201	8.802876653	6.8012415287	10.8437693226
YML090W	0	0	0	0.9035732483	0	2.6775062921	0.400130757	0	0
YDR343C	131.6873314916	217.6404608031	71.431728767	1092.4200571625	2036.7094082783	1444.5146446036	286.8937527357	282.2515234423	158.5901263424
YPR010C-A	1426.8258441224	1941.4518378459	1156.9138815987	9239.9400368433	9927.8970878742	9266.8492770585	1587.7188435919	1407.8569964473	1564.2137247788
YML051W	1820.6093208157	2638.8905872377	2881.0797269352	13308.7303738182	16402.1614088624	17722.4141476018	2475.6089932719	2534.5960097071	2630.9695318854
YPL067C	980.6231383888	693.3167709675	930.0130961035	2888.7236747299	3908.3312081968	4873.0614516748	546.5786139986	620.0465193693	723.8216022807
YGL081W	161.0932404654	198.6793600513	270.3200716084	480.7009680814	492.4327517931	566.2925807853	78.8257591199	62.3447140134	109.7931643909
YFL059W	124.0162248028	143.4448491657	170.8759001877	371.3686050403	364.1360961535	551.5662961786	58.8192212722	55.5434724846	97.593923903
YDL079C	1200.5281968019	592.7404974145	470.6090365825	4788.0346426005	5526.1897701223	9806.3667949225	866.6832195615	723.1986825551	1786.5109958913
YKR097W	109.9525292066	107.9958347167	91.0404386246	356.0078598197	754.6862096446	888.9320889868	122.0398808708	96.350921657	119.2814625481
YBR050C	299.1731608644	263.8066191553	112.0497706149	733.701477598	871.6625721395	701.5066485378	130.8427575238	117.888186498	149.1018281852
YDR455C	0	0	0	0	1.8867155241	1.3387531461	0.400130757	0	0
YAL067C	14.0636955962	38.7465971884	50.4223967767	118.3680955238	149.0505264048	171.3604026963	18.0058840629	26.0714258601	35.2422502983
YKR015C	44.7481223515	28.0294532852	32.2143090518	92.1644713239	119.8064357811	97.7289796627	14.8048380073	20.4037245862	21.6875386451
YOR178C	1135.3237899469	723.8194113073	347.3542889061	4964.2314260138	5326.1979245665	10131.6838094161	1290.0215604184	1007.717286507	1297.1859052109
YGL146C	109.9525292066	187.9622161481	184.8821215146	609.9119425845	745.252632024	743.0079960658	117.6384425444	132.6242098103	120.6369337134
YOR161W-B	7.6711066888	8.2439568486	5.6024885307	18.0714649655	16.980439717	17.4037908988	4.4014383265	2.2670805096	1.3554711653
YOL058W	738.9832776906	840.8835985575	1142.9076602718	4307.3336745191	3388.5410813041	4863.6901796523	537.3756065887	459.0838031894	1260.5881837472
YJR078W	143.1939915248	168.1767197115	161.0715452589	458.1116368746	579.2216659022	485.9673920214	80.8264129046	97.4844619118	101.660337399
YMR318C	7659.6000287968	8365.967409962	8309.8911132262	45194.9267321365	50037.5824149583	43778.5666294552	8138.6595964361	7774.9526075945	9345.9736848787
YDR281C	3070.999711095	1258.0278150968	2072.9207563753	824.0588024253	1345.2281686914	1682.8127046031	109.6358274053	132.6242098103	459.5047250433
YPR002C-A	3.8355533444	13.1903309578	2.8012442654	27.1071974482	35.8475949581	21.420050337	5.6018305974	5.6677012739	4.066413496
YIR030C	303.0087142088	277.8213457979	448.1990824595	451.7866241367	463.1886611693	621.1814597739	78.025497606	77.0807373256	132.8361742013
YDR119W-A	246.753931824	389.9391589389	84.0373279612	1974.3075474773	2515.9351514025	2038.9210414562	399.3304954397	316.257731086	498.8133888376
YOR068C	0	0	2.8012442654	3.6142929931	3.7734310482	1.3387531461	1.2003922709	0	0
YBR297W	377.1627455341	394.0611373632	375.3667315599	1791.7857513261	2013.1254642269	2303.994164377	330.1078744867	307.1894090477	523.2118698134
YLR331C	6.3925889074	1.6487913697	0	4.5178662414	3.7734310482	2.6775062921	0.8002615139	1.1335402548	0
YDR277C	4593.7143888278	4045.3096256093	2498.7098847119	9158.6184444987	9849.5983936235	12465.1305430066	2715.2873166871	2253.4780265196	996.2713065099
YNL202W	97.1673513918	118.7129786199	116.2516370129	379.5007642748	376.3997470602	448.4823039316	74.8244515503	55.5434724846	101.660337399
YIR020C-B	0	2.4731870546	0	0.9035732483	0.9433577621	1.3387531461	0.400130757	0	0
YPR044C	0	0.8243956849	0	3.6142929931	1.8867155241	0	0.8002615139	0	0
YIL057C	3.8355533444	7.4195611637	23.8105762557	37.0465031792	65.0916855818	77.6476824717	14.8048380073	12.4689428027	6.7773558266
YFL052W	89.496244703	103.8738562924	71.431728767	231.314751558	416.9641308286	661.3440541559	78.8257591199	83.8819788544	96.2384527377
YAL063C-A	20.4562845035	12.3659352729	12.6055991942	35.2393566827	20.7538707652	18.7425440449	8.0026151391	2.2670805096	2.7109423306
YKL178C	190.4991494393	145.0936405354	170.8759001877	304.5041846681	336.7787210539	354.7695837071	68.4223594391	56.6770127394	74.5509140926
YIL162W	1242.7192835905	2376.7327594522	2144.3524851423	5594.0219800603	7080.8433619901	6763.3808939179	1175.1840331727	1285.4346489302	1504.5729935048
YMR081C	3237.2070226863	3301.7047178654	1162.5163701294	11448.2730556234	11691.0327451563	15214.929505023	3854.459581734	3112.7015396493	853.9468341514
YBR255C-A	242.9183784796	268.7529932644	228.3014076278	880.9839170665	1079.2012797917	933.110942807	221.6724393523	213.1055679002	154.5237128464
YPL241C	363.099049938	283.5921155919	417.3853955404	689.4263884326	682.0476619663	941.1434616833	125.2409269265	150.7608538869	204.6761459633
YCL026C-B	209.6769161614	288.5384897011	210.0933199029	1575.8317449887	1577.2941781571	1269.1379824692	319.304344049	277.7173624232	314.4693103542
YGL117W	332.4146231826	427.0369647576	528.0345440226	1567.6995857543	1431.0737250385	1354.8181838173	289.2945372774	219.906809429	395.7975802733
YFR023W	56.2547823848	47.8149497219	51.8230189094	117.4645222755	105.6560693502	117.8102768537	23.6077146603	20.4037245862	27.1094233064
YKL030W	0	0.8243956849	1.4006221327	0.9035732483	1.8867155241	0	0.400130757	0	0
YMR303C	14.0636955962	56.0589065705	53.2236410421	155.414598703	179.2379747906	163.3278838199	33.6109835841	35.1397478984	35.2422502983
YLR307W	12.7851778147	25.5562662307	26.611820521	45.1786624137	43.3944570546	37.4850880898	6.8022228682	7.9347817835	13.5547116532
YBR033W	98.4458691733	129.4301225231	107.8479042168	789.7230189909	1075.4278487435	1358.8344432555	235.6770158457	165.4968771991	273.8051753946
YPR002W	163.6502760284	225.8844176517	168.0746559223	587.3226113777	687.7078085386	792.5418624702	111.6364811901	98.6180021666	229.074626939
YJL009W	5.1140711259	0.8243956849	0	0	1.8867155241	2.6775062921	0	1.1335402548	0
YLR013W	0	0	1.4006221327	0.9035732483	0.9433577621	2.6775062921	0	1.1335402548	0
YGL188C	94.6103158289	178.8938636147	72.8323508997	474.3759553435	609.409114288	294.5256921342	98.8322969675	125.8229682815	70.4845005966
YNL117W	63.9258890736	70.0736332131	93.84168289	237.6397642959	255.6499535171	360.1245962914	58.0189597583	51.0093114655	75.9063852579
YDL244W	3.8355533444	27.2050576004	22.409954123	65.0572738757	83.958840823	68.2764104493	14.0045764934	14.7360233123	18.9765963145
YER046W-A	0	2.4731870546	1.4006221327	3.6142929931	3.7734310482	0	1.2003922709	0	0
YPR030W	517.799701496	433.6321302365	317.9412241197	1759.2571143882	2419.7126596729	2490.08085168	545.7783524847	520.2949769479	389.0202244467
YHR160C	93.3317980474	39.5709928733	43.4192861133	119.2716687721	147.1638108807	170.0216495502	31.2101990424	24.9378856053	40.6641349596
YKL177W	21.734802285	17.3123093821	22.409954123	70.4787133653	74.5252632024	64.2601510111	11.2036611947	10.2018622931	28.4648944717
YGR131W	118.9021536769	140.1472664262	341.7518003754	448.1723311436	417.9074885907	279.7994075275	70.4230132238	79.3478178352	108.4376932256
YAL062W	149.5865804322	292.6604681254	404.7797963463	912.6089807561	1418.8100741318	1650.6826290975	238.8780619013	198.369544588	459.5047250433
YHR015W	182.8280427505	186.3134247784	166.6740337896	370.4650317921	282.0639708547	240.9755662916	67.2219671682	75.9471970708	58.2852601087
YNL277W	193.0561850022	287.7140940162	558.8482309417	1105.9736558866	1119.7656635601	1218.2653629187	179.6587098722	163.2297966895	437.8171863982
YEL049W	17.8992489406	10.7171439032	70.0311066343	53.3108216481	75.4686209645	92.3739670785	11.2036611947	26.0714258601	13.5547116532
YOR383C	1613.4894402173	948.8794332742	1225.5443661003	19237.9780289879	14124.89577126	21849.7900969187	4473.4618627412	2991.4127323869	5180.6107938516
YDR536W	30.6844267553	45.3417626673	8.4037327961	178.9075031581	176.4079015044	228.926787977	22.8074531464	26.0714258601	88.1056257458
YMR118C	11.5066600332	9.0683525335	9.8043549288	22.5893312068	24.5273018134	21.420050337	2.8009152987	4.5341610192	10.8437693226
YGL214W	5.1140711259	0.8243956849	9.8043549288	15.3607452206	6.6035043344	12.0487783146	4.4014383265	1.1335402548	1.3554711653
YLR444C	0	2.4731870546	1.4006221327	0.9035732483	2.8300732862	1.3387531461	0.8002615139	0	0
YPL272C	776.0602933533	835.9372244483	2281.6134541455	3435.3854899353	3376.2774303973	2615.92364741	653.4135261052	771.940913511	761.7747949096
YDL181W	917.9757670967	1681.767197115	1100.8889962912	4325.4051394845	4994.1359923229	4751.2349153829	1077.952259233	1048.5247356794	1142.6621923644
YGL205W	38.3555334442	56.0589065705	44.819908246	159.0288916961	199.0484877938	175.3766621344	48.0156908344	37.406828408	36.5977214636
YER091C	3797.1978109709	4387.4338348264	7049.3311938088	15859.5176536939	15501.2547460992	14455.8564712045	2605.2513585249	1880.5432826942	6288.0307359177
YML083C	163.6502760284	73.3712159526	260.5157166796	302.6970381716	181.1246903147	246.3305788759	35.2115066119	38.5403686628	101.660337399
YBR093C	781.1743644792	2384.9767163008	2255.0016336245	1463.7886622028	3957.3858118237	2312.0266832534	471.7541624483	540.6987015341	822.770997349
YML054C	549.7626460328	474.8519144795	408.9816627443	1588.4817704646	1988.5981624134	1878.2706639285	420.9375563152	392.2049281568	487.9696195151
YBL043W	191.7776672208	203.6257341605	172.2765223204	1040.9163820109	1155.6132585182	1080.3737888741	270.0882609437	258.4471780918	253.4731079148
YAL066W	1.2785177815	0	0	2.7107197448	0.9433577621	2.6775062921	0.400130757	1.1335402548	0
YHR095W	0	0.8243956849	7.0031106634	5.4214394896	5.6601465723	13.3875314606	2.0006537848	1.1335402548	2.7109423306
